Number of removed features,Validity score,Interpreter,Model
1,0.0036,SHAP,RF
2,0.0054,SHAP,RF
3,0.0054,SHAP,RF
4,0.0018,SHAP,RF
5,0.0018,SHAP,RF
6,0,SHAP,RF
7,0.0018,SHAP,RF
8,0.0018,SHAP,RF
9,0.0036,SHAP,RF
10,0.0054,SHAP,RF
11,0.0127,SHAP,RF
12,0.0199,SHAP,RF
13,0.0814,SHAP,RF
14,0.1284,SHAP,RF
15,0.1591,SHAP,RF
16,0.1917,SHAP,RF
17,0.2514,SHAP,RF
18,0.3237,SHAP,RF
19,0.3219,SHAP,RF
20,0.3707,SHAP,RF
21,0.4087,SHAP,RF
22,0.4485,SHAP,RF
23,0.4557,SHAP,RF
24,0.4485,SHAP,RF
25,0.4123,SHAP,RF
26,0.3165,SHAP,RF
27,0.2134,SHAP,RF
28,0.1519,SHAP,RF
29,0.1049,SHAP,RF
30,0.0524,SHAP,RF
31,0.0235,SHAP,RF
32,0.0145,SHAP,RF
33,0.0145,SHAP,RF
34,0.0217,SHAP,RF
35,0.0452,SHAP,RF
36,0.0633,SHAP,RF
37,0.1103,SHAP,RF
38,0.1392,SHAP,RF
39,0.2242,SHAP,RF
40,0.2984,SHAP,RF
41,0.3906,SHAP,RF
42,0.5045,SHAP,RF
43,0.6401,SHAP,RF
44,0.7667,SHAP,RF
45,0.8336,SHAP,RF
46,0.8264,SHAP,RF
47,0.8336,SHAP,RF
48,0.8571,SHAP,RF
49,0.8861,SHAP,RF
50,0.9204,SHAP,RF
51,0.9747,SHAP,RF
52,0.9982,SHAP,RF
53,1,SHAP,RF
54,1,SHAP,RF
55,1,SHAP,RF
56,1,SHAP,RF
57,1,SHAP,RF
1,0.0561,LIME,RF
2,0.0759,LIME,RF
3,0.0814,LIME,RF
4,0.1338,LIME,RF
5,0.1591,LIME,RF
6,0.1808,LIME,RF
7,0.1844,LIME,RF
8,0.179,LIME,RF
9,0.1844,LIME,RF
10,0.226,LIME,RF
11,0.3002,LIME,RF
12,0.3454,LIME,RF
13,0.4231,LIME,RF
14,0.4629,LIME,RF
15,0.5045,LIME,RF
16,0.519,LIME,RF
17,0.5533,LIME,RF
18,0.5841,LIME,RF
19,0.5841,LIME,RF
20,0.6004,LIME,RF
21,0.5769,LIME,RF
22,0.5931,LIME,RF
23,0.5823,LIME,RF
24,0.6022,LIME,RF
25,0.5967,LIME,RF
26,0.5805,LIME,RF
27,0.5714,LIME,RF
28,0.5823,LIME,RF
29,0.5895,LIME,RF
30,0.6184,LIME,RF
31,0.613,LIME,RF
32,0.6239,LIME,RF
33,0.6492,LIME,RF
34,0.6582,LIME,RF
35,0.6763,LIME,RF
36,0.6745,LIME,RF
37,0.6817,LIME,RF
38,0.7052,LIME,RF
39,0.7324,LIME,RF
40,0.745,LIME,RF
41,0.7505,LIME,RF
42,0.745,LIME,RF
43,0.745,LIME,RF
44,0.7378,LIME,RF
45,0.745,LIME,RF
46,0.7486,LIME,RF
47,0.7595,LIME,RF
48,0.7776,LIME,RF
49,0.7866,LIME,RF
50,0.7884,LIME,RF
51,0.7975,LIME,RF
52,0.8083,LIME,RF
53,0.8246,LIME,RF
54,0.8608,LIME,RF
55,0.8807,LIME,RF
56,0.9114,LIME,RF
57,1,LIME,RF
1,0.0163,Anchor,RF
2,0.0199,Anchor,RF
3,0.0271,Anchor,RF
4,0.0488,Anchor,RF
5,0.0524,Anchor,RF
6,0.0542,Anchor,RF
7,0.0542,Anchor,RF
8,0.0542,Anchor,RF
9,0.0542,Anchor,RF
10,0.0542,Anchor,RF
11,0.0542,Anchor,RF
12,0.0542,Anchor,RF
13,0.0542,Anchor,RF
14,0.0542,Anchor,RF
15,0.0542,Anchor,RF
16,0.0542,Anchor,RF
17,0.0542,Anchor,RF
18,0.0542,Anchor,RF
19,0.0542,Anchor,RF
20,0.0542,Anchor,RF
21,0.0542,Anchor,RF
22,0.0542,Anchor,RF
23,0.0542,Anchor,RF
24,0.0542,Anchor,RF
25,0.0542,Anchor,RF
26,0.0542,Anchor,RF
27,0.0542,Anchor,RF
28,0.0542,Anchor,RF
29,0.0542,Anchor,RF
30,0.0542,Anchor,RF
31,0.0542,Anchor,RF
32,0.0542,Anchor,RF
33,0.0542,Anchor,RF
34,0.0542,Anchor,RF
35,0.0542,Anchor,RF
36,0.0542,Anchor,RF
37,0.0542,Anchor,RF
38,0.0542,Anchor,RF
39,0.0542,Anchor,RF
40,0.0542,Anchor,RF
41,0.0542,Anchor,RF
42,0.0542,Anchor,RF
43,0.0542,Anchor,RF
44,0.0542,Anchor,RF
45,0.0542,Anchor,RF
46,0.0542,Anchor,RF
47,0.0542,Anchor,RF
48,0.0542,Anchor,RF
49,0.0542,Anchor,RF
50,0.0542,Anchor,RF
51,0.0542,Anchor,RF
52,0.0542,Anchor,RF
53,0.0542,Anchor,RF
54,0.0542,Anchor,RF
55,0.0542,Anchor,RF
56,0.0542,Anchor,RF
57,0.0542,Anchor,RF
1,0.179,LORE,RF
2,0.5931,LORE,RF
3,0.7342,LORE,RF
4,0.7957,LORE,RF
5,0.8101,LORE,RF
6,0.8156,LORE,RF
7,0.8228,LORE,RF
8,0.8228,LORE,RF
9,0.821,LORE,RF
10,0.821,LORE,RF
11,0.821,LORE,RF
12,0.821,LORE,RF
13,0.821,LORE,RF
14,0.821,LORE,RF
15,0.821,LORE,RF
16,0.821,LORE,RF
17,0.821,LORE,RF
18,0.821,LORE,RF
19,0.821,LORE,RF
20,0.821,LORE,RF
21,0.821,LORE,RF
22,0.821,LORE,RF
23,0.821,LORE,RF
24,0.821,LORE,RF
25,0.821,LORE,RF
26,0.821,LORE,RF
27,0.821,LORE,RF
28,0.821,LORE,RF
29,0.821,LORE,RF
30,0.821,LORE,RF
31,0.821,LORE,RF
32,0.821,LORE,RF
33,0.821,LORE,RF
34,0.821,LORE,RF
35,0.821,LORE,RF
36,0.821,LORE,RF
37,0.821,LORE,RF
38,0.821,LORE,RF
39,0.821,LORE,RF
40,0.821,LORE,RF
41,0.821,LORE,RF
42,0.821,LORE,RF
43,0.821,LORE,RF
44,0.821,LORE,RF
45,0.821,LORE,RF
46,0.821,LORE,RF
47,0.821,LORE,RF
48,0.821,LORE,RF
49,0.821,LORE,RF
50,0.821,LORE,RF
51,0.821,LORE,RF
52,0.821,LORE,RF
53,0.821,LORE,RF
54,0.821,LORE,RF
55,0.821,LORE,RF
56,0.821,LORE,RF
57,0.821,LORE,RF
1,0.8343,SHAP,SVC
2,0.9797,SHAP,SVC
3,0.9982,SHAP,SVC
4,1,SHAP,SVC
5,1,SHAP,SVC
6,1,SHAP,SVC
7,1,SHAP,SVC
8,1,SHAP,SVC
9,1,SHAP,SVC
10,1,SHAP,SVC
11,1,SHAP,SVC
12,1,SHAP,SVC
13,1,SHAP,SVC
14,1,SHAP,SVC
15,1,SHAP,SVC
16,1,SHAP,SVC
17,1,SHAP,SVC
18,1,SHAP,SVC
19,1,SHAP,SVC
20,1,SHAP,SVC
21,1,SHAP,SVC
22,1,SHAP,SVC
23,1,SHAP,SVC
24,1,SHAP,SVC
25,1,SHAP,SVC
26,1,SHAP,SVC
27,1,SHAP,SVC
28,1,SHAP,SVC
29,1,SHAP,SVC
30,1,SHAP,SVC
31,1,SHAP,SVC
32,1,SHAP,SVC
33,1,SHAP,SVC
34,1,SHAP,SVC
35,1,SHAP,SVC
36,1,SHAP,SVC
37,1,SHAP,SVC
38,1,SHAP,SVC
39,1,SHAP,SVC
40,1,SHAP,SVC
41,1,SHAP,SVC
42,1,SHAP,SVC
43,1,SHAP,SVC
44,1,SHAP,SVC
45,1,SHAP,SVC
46,1,SHAP,SVC
47,1,SHAP,SVC
48,1,SHAP,SVC
49,1,SHAP,SVC
50,1,SHAP,SVC
51,1,SHAP,SVC
52,1,SHAP,SVC
53,1,SHAP,SVC
54,1,SHAP,SVC
55,1,SHAP,SVC
56,1,SHAP,SVC
57,1,SHAP,SVC
1,1,LIME,SVC
2,1,LIME,SVC
3,1,LIME,SVC
4,1,LIME,SVC
5,1,LIME,SVC
6,1,LIME,SVC
7,1,LIME,SVC
8,1,LIME,SVC
9,1,LIME,SVC
10,1,LIME,SVC
11,1,LIME,SVC
12,1,LIME,SVC
13,1,LIME,SVC
14,1,LIME,SVC
15,1,LIME,SVC
16,1,LIME,SVC
17,1,LIME,SVC
18,1,LIME,SVC
19,1,LIME,SVC
20,1,LIME,SVC
21,1,LIME,SVC
22,1,LIME,SVC
23,1,LIME,SVC
24,1,LIME,SVC
25,1,LIME,SVC
26,1,LIME,SVC
27,1,LIME,SVC
28,1,LIME,SVC
29,1,LIME,SVC
30,1,LIME,SVC
31,1,LIME,SVC
32,1,LIME,SVC
33,1,LIME,SVC
34,1,LIME,SVC
35,1,LIME,SVC
36,1,LIME,SVC
37,1,LIME,SVC
38,1,LIME,SVC
39,1,LIME,SVC
40,1,LIME,SVC
41,1,LIME,SVC
42,1,LIME,SVC
43,1,LIME,SVC
44,1,LIME,SVC
45,1,LIME,SVC
46,1,LIME,SVC
47,1,LIME,SVC
48,1,LIME,SVC
49,1,LIME,SVC
50,1,LIME,SVC
51,1,LIME,SVC
52,1,LIME,SVC
53,1,LIME,SVC
54,1,LIME,SVC
55,1,LIME,SVC
56,1,LIME,SVC
57,1,LIME,SVC
1,0.8232,Anchor,SVC
2,0.9926,Anchor,SVC
3,1,Anchor,SVC
4,1,Anchor,SVC
5,1,Anchor,SVC
6,1,Anchor,SVC
7,1,Anchor,SVC
8,1,Anchor,SVC
9,1,Anchor,SVC
10,1,Anchor,SVC
11,1,Anchor,SVC
12,1,Anchor,SVC
13,1,Anchor,SVC
14,1,Anchor,SVC
15,1,Anchor,SVC
16,1,Anchor,SVC
17,1,Anchor,SVC
18,1,Anchor,SVC
19,1,Anchor,SVC
20,1,Anchor,SVC
21,1,Anchor,SVC
22,1,Anchor,SVC
23,1,Anchor,SVC
24,1,Anchor,SVC
25,1,Anchor,SVC
26,1,Anchor,SVC
27,1,Anchor,SVC
28,1,Anchor,SVC
29,1,Anchor,SVC
30,1,Anchor,SVC
31,1,Anchor,SVC
32,1,Anchor,SVC
33,1,Anchor,SVC
34,1,Anchor,SVC
35,1,Anchor,SVC
36,1,Anchor,SVC
37,1,Anchor,SVC
38,1,Anchor,SVC
39,1,Anchor,SVC
40,1,Anchor,SVC
41,1,Anchor,SVC
42,1,Anchor,SVC
43,1,Anchor,SVC
44,1,Anchor,SVC
45,1,Anchor,SVC
46,1,Anchor,SVC
47,1,Anchor,SVC
48,1,Anchor,SVC
49,1,Anchor,SVC
50,1,Anchor,SVC
51,1,Anchor,SVC
52,1,Anchor,SVC
53,1,Anchor,SVC
54,1,Anchor,SVC
55,1,Anchor,SVC
56,1,Anchor,SVC
57,1,Anchor,SVC
1,0.8545,LORE,SVC
2,0.9705,LORE,SVC
3,0.9982,LORE,SVC
4,1,LORE,SVC
5,1,LORE,SVC
6,1,LORE,SVC
7,1,LORE,SVC
8,1,LORE,SVC
9,1,LORE,SVC
10,1,LORE,SVC
11,1,LORE,SVC
12,1,LORE,SVC
13,1,LORE,SVC
14,1,LORE,SVC
15,1,LORE,SVC
16,1,LORE,SVC
17,1,LORE,SVC
18,1,LORE,SVC
19,1,LORE,SVC
20,1,LORE,SVC
21,1,LORE,SVC
22,1,LORE,SVC
23,1,LORE,SVC
24,1,LORE,SVC
25,1,LORE,SVC
26,1,LORE,SVC
27,1,LORE,SVC
28,1,LORE,SVC
29,1,LORE,SVC
30,1,LORE,SVC
31,1,LORE,SVC
32,1,LORE,SVC
33,1,LORE,SVC
34,1,LORE,SVC
35,1,LORE,SVC
36,1,LORE,SVC
37,1,LORE,SVC
38,1,LORE,SVC
39,1,LORE,SVC
40,1,LORE,SVC
41,1,LORE,SVC
42,1,LORE,SVC
43,1,LORE,SVC
44,1,LORE,SVC
45,1,LORE,SVC
46,1,LORE,SVC
47,1,LORE,SVC
48,1,LORE,SVC
49,1,LORE,SVC
50,1,LORE,SVC
51,1,LORE,SVC
52,1,LORE,SVC
53,1,LORE,SVC
54,1,LORE,SVC
55,1,LORE,SVC
56,1,LORE,SVC
57,1,LORE,SVC
1,0.1914,SHAP,MLP
2,0.1603,SHAP,MLP
3,0.1983,SHAP,MLP
4,0.2379,SHAP,MLP
5,0.2828,SHAP,MLP
6,0.3017,SHAP,MLP
7,0.3466,SHAP,MLP
8,0.3586,SHAP,MLP
9,0.3758,SHAP,MLP
10,0.4069,SHAP,MLP
11,0.4172,SHAP,MLP
12,0.4414,SHAP,MLP
13,0.4828,SHAP,MLP
14,0.5,SHAP,MLP
15,0.5155,SHAP,MLP
16,0.5397,SHAP,MLP
17,0.5759,SHAP,MLP
18,0.6362,SHAP,MLP
19,0.6603,SHAP,MLP
20,0.6914,SHAP,MLP
21,0.7155,SHAP,MLP
22,0.7414,SHAP,MLP
23,0.7483,SHAP,MLP
24,0.7655,SHAP,MLP
25,0.7776,SHAP,MLP
26,0.7914,SHAP,MLP
27,0.7966,SHAP,MLP
28,0.7966,SHAP,MLP
29,0.8034,SHAP,MLP
30,0.8241,SHAP,MLP
31,0.8379,SHAP,MLP
32,0.8345,SHAP,MLP
33,0.8224,SHAP,MLP
34,0.8328,SHAP,MLP
35,0.8414,SHAP,MLP
36,0.8276,SHAP,MLP
37,0.8534,SHAP,MLP
38,0.8517,SHAP,MLP
39,0.8534,SHAP,MLP
40,0.8552,SHAP,MLP
41,0.8586,SHAP,MLP
42,0.8655,SHAP,MLP
43,0.8603,SHAP,MLP
44,0.8707,SHAP,MLP
45,0.8741,SHAP,MLP
46,0.8672,SHAP,MLP
47,0.8741,SHAP,MLP
48,0.869,SHAP,MLP
49,0.8724,SHAP,MLP
50,0.8879,SHAP,MLP
51,0.9017,SHAP,MLP
52,0.8914,SHAP,MLP
53,0.8897,SHAP,MLP
54,0.9397,SHAP,MLP
55,0.9397,SHAP,MLP
56,0.9707,SHAP,MLP
57,1,SHAP,MLP
1,0.0328,LIME,MLP
2,0.3362,LIME,MLP
3,0.6638,LIME,MLP
4,0.9983,LIME,MLP
5,1,LIME,MLP
6,1,LIME,MLP
7,1,LIME,MLP
8,1,LIME,MLP
9,1,LIME,MLP
10,1,LIME,MLP
11,1,LIME,MLP
12,1,LIME,MLP
13,1,LIME,MLP
14,1,LIME,MLP
15,1,LIME,MLP
16,1,LIME,MLP
17,1,LIME,MLP
18,1,LIME,MLP
19,1,LIME,MLP
20,1,LIME,MLP
21,1,LIME,MLP
22,1,LIME,MLP
23,1,LIME,MLP
24,1,LIME,MLP
25,1,LIME,MLP
26,1,LIME,MLP
27,1,LIME,MLP
28,1,LIME,MLP
29,1,LIME,MLP
30,1,LIME,MLP
31,1,LIME,MLP
32,1,LIME,MLP
33,1,LIME,MLP
34,1,LIME,MLP
35,1,LIME,MLP
36,1,LIME,MLP
37,1,LIME,MLP
38,1,LIME,MLP
39,0.9983,LIME,MLP
40,1,LIME,MLP
41,1,LIME,MLP
42,0.9983,LIME,MLP
43,0.9948,LIME,MLP
44,0.9845,LIME,MLP
45,0.9707,LIME,MLP
46,0.9448,LIME,MLP
47,0.9155,LIME,MLP
48,0.9034,LIME,MLP
49,0.8741,LIME,MLP
50,0.8328,LIME,MLP
51,0.781,LIME,MLP
52,0.7741,LIME,MLP
53,0.7914,LIME,MLP
54,0.7345,LIME,MLP
55,0.7414,LIME,MLP
56,0.631,LIME,MLP
57,1,LIME,MLP
1,0.1017,Anchor,MLP
2,0.0724,Anchor,MLP
3,0.0621,Anchor,MLP
4,0.0776,Anchor,MLP
5,0.0897,Anchor,MLP
6,0.0879,Anchor,MLP
7,0.0879,Anchor,MLP
8,0.0862,Anchor,MLP
9,0.0862,Anchor,MLP
10,0.0862,Anchor,MLP
11,0.0862,Anchor,MLP
12,0.0862,Anchor,MLP
13,0.0862,Anchor,MLP
14,0.0862,Anchor,MLP
15,0.0862,Anchor,MLP
16,0.0862,Anchor,MLP
17,0.0862,Anchor,MLP
18,0.0862,Anchor,MLP
19,0.0862,Anchor,MLP
20,0.0862,Anchor,MLP
21,0.0862,Anchor,MLP
22,0.0862,Anchor,MLP
23,0.0862,Anchor,MLP
24,0.0862,Anchor,MLP
25,0.0862,Anchor,MLP
26,0.0862,Anchor,MLP
27,0.0862,Anchor,MLP
28,0.0862,Anchor,MLP
29,0.0862,Anchor,MLP
30,0.0862,Anchor,MLP
31,0.0862,Anchor,MLP
32,0.0862,Anchor,MLP
33,0.0862,Anchor,MLP
34,0.0862,Anchor,MLP
35,0.0862,Anchor,MLP
36,0.0862,Anchor,MLP
37,0.0862,Anchor,MLP
38,0.0862,Anchor,MLP
39,0.0862,Anchor,MLP
40,0.0862,Anchor,MLP
41,0.0862,Anchor,MLP
42,0.0862,Anchor,MLP
43,0.0862,Anchor,MLP
44,0.0862,Anchor,MLP
45,0.0862,Anchor,MLP
46,0.0862,Anchor,MLP
47,0.0862,Anchor,MLP
48,0.0862,Anchor,MLP
49,0.0862,Anchor,MLP
50,0.0862,Anchor,MLP
51,0.0862,Anchor,MLP
52,0.0862,Anchor,MLP
53,0.0862,Anchor,MLP
54,0.0862,Anchor,MLP
55,0.0862,Anchor,MLP
56,0.0862,Anchor,MLP
57,0.0862,Anchor,MLP
1,0.6707,LORE,MLP
2,0.8086,LORE,MLP
3,0.8207,LORE,MLP
4,0.8569,LORE,MLP
5,0.8655,LORE,MLP
6,0.8759,LORE,MLP
7,0.8828,LORE,MLP
8,0.8862,LORE,MLP
9,0.8862,LORE,MLP
10,0.881,LORE,MLP
11,0.8845,LORE,MLP
12,0.8828,LORE,MLP
13,0.8845,LORE,MLP
14,0.881,LORE,MLP
15,0.8793,LORE,MLP
16,0.8793,LORE,MLP
17,0.8793,LORE,MLP
18,0.8793,LORE,MLP
19,0.8793,LORE,MLP
20,0.8793,LORE,MLP
21,0.8793,LORE,MLP
22,0.8793,LORE,MLP
23,0.8793,LORE,MLP
24,0.8793,LORE,MLP
25,0.8793,LORE,MLP
26,0.8793,LORE,MLP
27,0.8793,LORE,MLP
28,0.8793,LORE,MLP
29,0.8793,LORE,MLP
30,0.8793,LORE,MLP
31,0.8793,LORE,MLP
32,0.8793,LORE,MLP
33,0.8793,LORE,MLP
34,0.8793,LORE,MLP
35,0.8793,LORE,MLP
36,0.8793,LORE,MLP
37,0.8793,LORE,MLP
38,0.8793,LORE,MLP
39,0.8793,LORE,MLP
40,0.8793,LORE,MLP
41,0.8793,LORE,MLP
42,0.8793,LORE,MLP
43,0.8793,LORE,MLP
44,0.8793,LORE,MLP
45,0.8793,LORE,MLP
46,0.8793,LORE,MLP
47,0.8793,LORE,MLP
48,0.8793,LORE,MLP
49,0.8793,LORE,MLP
50,0.8793,LORE,MLP
51,0.8793,LORE,MLP
52,0.8793,LORE,MLP
53,0.8793,LORE,MLP
54,0.8793,LORE,MLP
55,0.8793,LORE,MLP
56,0.8793,LORE,MLP
57,0.8793,LORE,MLP
